StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Technical_Skills_Score,PlacementStatus,PlacementStatus_encoded
75,7.4,2.0,1,0,75,4.2,No,Yes,65,84,91.0,notplaced,0
76,6.5,1.0,1,0,63,4.5,No,Yes,57,68,87.0,notplaced,0
77,8.1,1.0,3,1,90,4.6,Yes,Yes,73,86,84.0,placed,1
78,6.9,1.0,1,0,83,3.5,No,Yes,61,71,79.0,notplaced,0
79,8.2,1.0,3,0,83,4.8,Yes,Yes,71,84,43.0,placed,1
80,7.6,1.0,2,1,72,3.9,No,Yes,58,66,53.0,notplaced,0
81,6.6,1.0,1,1,69,3.6,No,Yes,55,72,63.0,notplaced,0
82,6.7,1.0,2,1,74,4.8,Yes,Yes,72,64,73.0,placed,1
83,8.2,2.0,3,2,76,4.5,Yes,Yes,73,82,86.0,notplaced,0
84,8.3,2.0,3,1,90,4.2,Yes,Yes,82,83,45.0,placed,1
85,7.6,0.0,2,0,86,4.8,Yes,Yes,57,72,42.0,placed,1
86,6.7,1.0,3,0,87,4.6,Yes,No,81,69,56.0,notplaced,0
87,8.1,0.0,2,1,84,3.8,No,No,71,68,56.0,notplaced,0
88,8.5,1.0,2,2,79,3.9,Yes,Yes,76,66,48.0,placed,1
89,8.8,1.0,3,0,76,4.7,Yes,Yes,75,84,76.0,placed,1
90,7.2,1.0,2,0,68,4.2,Yes,Yes,57,66,78.0,notplaced,0
91,7.6,1.0,1,0,80,4.5,Yes,Yes,66,67,60.0,notplaced,0
92,7.1,1.0,1,0,70,3.3,No,No,55,66,65.0,notplaced,0
93,8.1,1.0,3,2,89,4.6,Yes,Yes,86,80,80.0,placed,1
94,7.4,1.0,3,0,83,4.2,No,Yes,65,82,49.0,notplaced,0
95,7.7,2.0,2,2,85,4.8,Yes,Yes,74,83,74.0,notplaced,0
96,7.5,0.0,1,1,75,3.3,No,Yes,61,73,81.0,notplaced,0
97,7.5,1.0,1,0,64,4.0,No,No,73,66,93.0,notplaced,0
98,7.8,2.0,2,2,90,4.8,Yes,No,81,82,65.0,placed,1
99,7.7,1.0,3,1,89,4.6,No,Yes,61,84,80.0,placed,1
100,7.9,0.0,1,2,83,4.8,Yes,No,58,81,42.0,notplaced,0
101,7.4,1.0,2,1,63,3.9,No,No,55,67,71.0,notplaced,0
102,7.3,1.0,1,0,80,4.7,No,Yes,64,65,83.0,notplaced,0
103,6.5,1.0,1,1,62,3.8,No,Yes,58,65,50.0,notplaced,0
104,7.5,2.0,1,1,76,4.2,Yes,Yes,57,80,56.0,notplaced,0
105,6.5,1.0,1,0,68,4.1,No,No,61,66,70.0,notplaced,0
106,8.5,2.0,3,2,90,4.8,Yes,Yes,72,87,94.0,placed,1
107,6.7,0.0,1,1,74,3.9,No,No,55,70,71.0,notplaced,0
108,6.5,0.0,1,0,82,4.4,No,No,65,69,95.0,notplaced,0
109,8.1,1.0,3,2,90,4.8,Yes,Yes,79,84,57.0,placed,1
110,8.7,2.0,3,2,90,4.8,Yes,Yes,79,85,90.0,placed,1
111,8.0,1.0,1,3,84,4.0,No,Yes,57,61,92.0,notplaced,0
112,7.3,1.0,3,1,81,4.2,Yes,Yes,69,65,74.0,notplaced,0
113,7.4,1.0,1,1,81,4.1,Yes,No,55,62,48.0,notplaced,0
114,8.6,2.0,3,0,81,4.7,Yes,No,71,83,57.0,placed,1
115,6.7,2.0,1,2,76,4.8,Yes,No,55,78,45.0,notplaced,0
116,7.6,1.0,1,1,67,3.5,No,No,55,67,85.0,notplaced,0
117,8.8,1.0,3,2,90,4.6,Yes,Yes,83,83,57.0,placed,1
118,6.5,1.0,2,0,65,4.4,No,Yes,61,68,78.0,notplaced,0
119,6.5,1.0,2,1,78,4.2,No,No,62,62,58.0,notplaced,0
120,7.4,1.0,2,1,75,4.2,No,Yes,55,74,51.0,notplaced,0
121,8.7,2.0,3,2,81,4.7,Yes,Yes,85,79,73.0,placed,1
122,8.0,1.0,1,1,68,4.2,No,Yes,59,66,43.0,notplaced,0
123,7.7,1.0,3,2,90,4.8,Yes,No,80,85,72.0,placed,1
124,7.3,1.0,1,0,64,3.2,No,Yes,58,67,67.0,notplaced,0
125,8.4,2.0,1,2,76,4.1,No,No,56,63,94.0,notplaced,0
126,7.7,1.0,2,0,73,4.0,No,Yes,65,75,72.0,placed,1
127,7.5,1.0,1,1,68,4.7,No,No,58,64,87.0,notplaced,0
128,7.4,0.0,1,0,79,4.3,No,No,63,73,76.0,notplaced,0
129,7.4,1.0,1,1,64,4.3,No,Yes,73,73,77.0,notplaced,0
130,8.5,1.0,2,2,90,4.8,Yes,Yes,80,86,45.0,placed,1
131,8.0,1.0,3,0,80,4.4,Yes,Yes,85,84,90.0,placed,1
132,6.5,1.0,1,1,72,3.8,No,No,64,67,72.0,notplaced,0
133,8.4,1.0,1,0,81,4.6,Yes,No,78,82,61.0,placed,1
134,8.7,0.0,3,2,88,4.8,No,No,87,84,53.0,notplaced,0
135,8.0,0.0,1,0,60,4.0,No,No,57,70,86.0,notplaced,0
136,8.4,2.0,3,1,88,4.6,Yes,Yes,74,82,40.0,notplaced,0
137,8.2,2.0,3,2,90,4.4,Yes,Yes,90,81,45.0,placed,1
138,8.1,2.0,2,2,90,4.5,Yes,Yes,73,82,85.0,placed,1
139,7.9,1.0,3,1,75,3.7,No,Yes,62,65,88.0,notplaced,0
140,8.9,2.0,3,2,90,4.8,Yes,Yes,69,85,48.0,placed,1
141,6.5,1.0,1,1,72,4.5,No,No,66,70,41.0,notplaced,0
142,7.6,1.0,1,0,73,4.3,No,Yes,55,76,94.0,placed,1
143,8.4,1.0,3,2,90,4.6,Yes,Yes,67,80,62.0,placed,1
144,7.8,2.0,3,0,77,4.8,Yes,Yes,79,87,48.0,notplaced,0
145,8.4,1.0,2,1,74,4.3,Yes,Yes,59,80,67.0,placed,1
146,7.6,1.0,2,0,74,3.7,No,Yes,58,74,42.0,placed,1
147,7.9,1.0,1,1,62,4.6,Yes,Yes,87,82,89.0,notplaced,0
148,7.9,1.0,3,1,80,4.2,Yes,Yes,56,82,41.0,placed,1
149,8.0,2.0,1,2,90,4.8,Yes,Yes,74,81,82.0,notplaced,0
150,7.9,2.0,1,0,83,4.0,Yes,Yes,63,70,68.0,notplaced,0
151,8.4,2.0,3,2,90,4.8,Yes,Yes,90,85,60.0,placed,1
152,8.6,0.0,3,2,90,4.8,Yes,Yes,73,78,63.0,placed,1
153,7.8,0.0,1,0,81,3.9,Yes,Yes,79,65,79.0,placed,1
154,8.1,2.0,3,3,90,4.8,Yes,Yes,80,83,73.0,placed,1
155,7.2,1.0,3,1,75,4.2,Yes,Yes,64,84,75.0,notplaced,0
156,7.7,0.0,1,0,81,4.8,Yes,Yes,69,63,93.0,placed,1
157,8.4,1.0,3,2,90,4.5,Yes,Yes,79,86,73.0,placed,1
158,8.0,1.0,3,1,87,4.6,Yes,Yes,72,83,86.0,notplaced,0
159,7.8,0.0,1,1,72,4.0,No,No,61,69,61.0,notplaced,0
160,6.5,1.0,1,0,63,3.5,No,No,56,64,69.0,notplaced,0
161,6.5,0.0,3,0,71,3.6,No,Yes,57,74,59.0,notplaced,0
162,7.9,1.0,2,1,81,4.0,Yes,Yes,60,71,47.0,notplaced,0
163,6.7,1.0,1,0,75,4.2,No,No,56,64,91.0,notplaced,0
164,6.9,0.0,1,0,73,4.1,No,Yes,55,69,51.0,placed,1
165,6.5,1.0,1,2,85,4.3,Yes,No,62,72,90.0,placed,1
166,6.5,0.0,1,1,79,3.9,No,No,55,66,70.0,notplaced,0
167,7.3,1.0,1,1,71,3.6,No,No,65,64,86.0,notplaced,0
168,8.3,2.0,3,0,71,4.6,Yes,Yes,77,82,92.0,placed,1
169,7.5,1.0,1,1,74,3.9,No,No,63,65,70.0,notplaced,0
170,8.0,2.0,3,3,76,4.1,Yes,Yes,78,61,84.0,notplaced,0
171,8.3,1.0,2,1,69,3.8,No,Yes,76,71,89.0,notplaced,0
172,6.6,0.0,3,0,87,4.5,No,No,80,82,41.0,notplaced,0
173,7.4,0.0,3,0,90,4.6,No,No,65,70,50.0,notplaced,0
174,8.0,1.0,1,1,78,4.4,No,No,66,68,77.0,notplaced,0
175,8.0,2.0,3,2,90,4.8,Yes,Yes,78,86,73.0,placed,1
176,6.7,1.0,2,0,73,4.5,No,Yes,55,65,81.0,notplaced,0
177,8.3,1.0,2,3,78,3.8,Yes,No,67,65,90.0,notplaced,0
178,8.5,1.0,3,2,90,4.8,Yes,Yes,61,86,93.0,placed,1
179,7.5,2.0,1,2,90,4.8,Yes,No,55,65,88.0,notplaced,0
180,7.4,1.0,1,0,60,3.4,No,No,58,62,47.0,notplaced,0
181,8.4,0.0,1,2,88,4.8,Yes,Yes,74,82,40.0,placed,1
182,8.2,1.0,3,0,82,4.8,Yes,Yes,70,73,58.0,placed,1
183,6.5,1.0,1,0,74,4.2,No,Yes,74,61,79.0,notplaced,0
184,7.7,1.0,1,0,71,4.7,No,Yes,57,69,57.0,notplaced,0
185,7.3,1.0,2,2,67,4.5,No,No,63,66,80.0,notplaced,0
186,6.5,0.0,1,0,78,3.7,Yes,Yes,75,69,88.0,notplaced,0
187,6.5,1.0,1,1,68,4.1,No,No,55,65,46.0,notplaced,0
188,7.5,1.0,1,0,76,4.3,No,Yes,73,79,70.0,notplaced,0
189,7.8,1.0,1,1,65,3.9,No,No,55,70,82.0,notplaced,0
190,6.8,1.0,1,0,78,4.3,No,No,61,62,83.0,notplaced,0
191,8.4,2.0,3,2,90,4.1,Yes,Yes,76,82,91.0,placed,1
192,7.8,2.0,2,2,80,4.6,No,Yes,59,74,91.0,placed,1
193,7.5,1.0,2,0,77,4.2,Yes,Yes,58,63,48.0,notplaced,0
194,8.9,0.0,1,2,80,4.8,Yes,Yes,75,82,44.0,placed,1
195,6.5,0.0,1,0,75,3.7,No,No,58,62,73.0,notplaced,0
196,8.4,1.0,1,2,87,4.1,No,No,78,70,62.0,notplaced,0
197,8.1,0.0,1,0,71,3.6,Yes,No,69,67,59.0,notplaced,0
198,8.5,2.0,3,0,86,4.2,Yes,Yes,60,85,80.0,placed,1
199,7.6,1.0,1,1,82,4.8,Yes,Yes,79,86,76.0,placed,1
200,7.8,2.0,3,0,79,4.3,Yes,No,87,87,50.0,notplaced,0
201,8.6,1.0,3,2,90,4.7,Yes,Yes,68,84,74.0,placed,1
202,7.9,2.0,3,2,76,4.6,Yes,Yes,79,82,62.0,placed,1
203,6.5,0.0,2,2,75,4.5,Yes,No,65,59,75.0,notplaced,0
204,8.2,0.0,2,1,82,4.5,Yes,Yes,78,87,73.0,placed,1
205,8.2,1.0,1,0,81,4.3,Yes,Yes,60,70,45.0,placed,1
206,7.6,1.0,1,0,64,4.1,No,No,69,67,51.0,notplaced,0
207,7.3,1.0,2,1,84,4.6,No,Yes,55,72,83.0,notplaced,0
208,8.4,2.0,3,2,90,4.5,Yes,Yes,85,79,79.0,placed,1
209,8.3,2.0,3,3,90,4.5,Yes,Yes,70,88,72.0,placed,1
210,7.8,1.0,3,0,88,4.8,Yes,Yes,70,78,74.0,placed,1
211,8.3,1.0,2,1,82,4.7,Yes,Yes,77,84,53.0,notplaced,0
212,7.5,1.0,1,1,69,4.1,No,No,55,75,53.0,notplaced,0
213,8.6,2.0,3,2,78,4.8,Yes,Yes,82,81,73.0,notplaced,0
214,7.8,2.0,2,2,77,4.2,Yes,No,57,69,84.0,notplaced,0
215,6.6,1.0,1,1,71,4.3,No,No,70,66,95.0,notplaced,0
216,7.4,0.0,1,1,70,4.2,No,No,61,70,54.0,notplaced,0
217,6.9,1.0,2,1,74,4.1,No,No,55,69,62.0,notplaced,0
218,6.6,1.0,1,0,77,4.5,No,No,62,70,90.0,notplaced,0
219,8.3,1.0,2,2,88,4.1,Yes,Yes,80,79,77.0,placed,1
220,7.9,2.0,2,2,88,4.8,Yes,Yes,81,85,75.0,placed,1
221,6.6,1.0,2,1,76,4.1,Yes,Yes,82,69,94.0,notplaced,0
222,8.0,2.0,3,2,86,4.8,Yes,Yes,62,83,48.0,placed,1
223,7.5,1.0,2,0,86,3.8,No,No,55,68,43.0,notplaced,0
224,7.9,2.0,3,2,90,4.8,Yes,No,81,78,59.0,notplaced,0
225,8.3,1.0,3,2,78,3.9,Yes,Yes,60,61,47.0,placed,1
226,7.4,1.0,1,0,74,3.5,No,Yes,67,62,72.0,notplaced,0
227,8.0,2.0,2,2,87,3.8,Yes,Yes,79,78,94.0,placed,1
228,8.7,2.0,3,2,87,4.7,Yes,Yes,80,84,91.0,placed,1
229,7.4,1.0,2,0,77,4.5,No,Yes,66,86,63.0,notplaced,0
230,7.9,2.0,3,2,90,4.8,Yes,Yes,83,88,62.0,placed,1
231,7.5,1.0,1,1,70,4.6,No,No,59,66,62.0,notplaced,0
232,7.4,2.0,1,1,87,4.5,Yes,Yes,68,84,42.0,notplaced,0
233,7.7,0.0,1,1,69,4.8,Yes,Yes,78,65,58.0,notplaced,0
234,7.8,0.0,1,1,70,3.8,No,Yes,73,73,58.0,notplaced,0
235,7.5,2.0,3,0,88,4.6,Yes,Yes,79,83,45.0,notplaced,0
236,8.2,2.0,3,1,69,4.0,Yes,Yes,77,82,76.0,notplaced,0
237,7.8,1.0,3,2,75,4.3,Yes,Yes,77,86,84.0,notplaced,0
238,7.6,1.0,1,0,72,4.6,Yes,Yes,68,84,47.0,notplaced,0
239,8.5,2.0,3,2,90,4.8,Yes,Yes,80,79,70.0,placed,1
240,6.7,0.0,1,1,71,4.7,No,Yes,76,70,79.0,notplaced,0
241,7.6,1.0,3,0,82,4.5,No,Yes,56,72,40.0,notplaced,0
242,7.6,0.0,2,0,80,3.7,Yes,No,85,61,44.0,notplaced,0
243,7.3,1.0,2,0,71,4.4,No,Yes,58,67,59.0,notplaced,0
244,8.1,1.0,2,1,78,3.5,No,Yes,71,70,75.0,notplaced,0
245,7.6,2.0,3,0,88,4.4,No,Yes,80,68,50.0,placed,1
246,7.4,1.0,2,0,77,3.8,No,Yes,59,63,92.0,notplaced,0
247,8.4,0.0,2,1,85,4.3,Yes,Yes,62,81,59.0,placed,1
248,6.7,1.0,2,1,73,4.3,No,Yes,71,66,52.0,notplaced,0
249,6.5,1.0,1,0,70,4.7,No,Yes,79,64,71.0,notplaced,0
250,7.4,1.0,2,1,68,3.4,No,Yes,57,61,43.0,notplaced,0
251,8.4,2.0,3,1,76,4.1,Yes,Yes,68,64,42.0,notplaced,0
252,6.5,1.0,1,0,68,4.3,No,Yes,55,70,44.0,notplaced,0
253,6.6,1.0,2,1,82,4.4,Yes,Yes,74,82,87.0,notplaced,0
254,8.1,0.0,2,2,80,4.4,Yes,No,82,85,83.0,placed,1
255,6.5,1.0,1,0,74,4.2,No,No,59,65,48.0,notplaced,0
256,8.5,1.0,3,2,75,4.5,Yes,Yes,75,84,50.0,notplaced,0
257,8.7,2.0,3,2,90,4.8,Yes,Yes,83,81,85.0,placed,1
258,7.5,1.0,2,3,86,4.8,No,Yes,60,67,53.0,notplaced,0
259,8.1,2.0,3,2,90,4.8,Yes,Yes,86,88,77.0,placed,1
260,8.2,1.0,3,1,83,4.1,Yes,Yes,77,83,48.0,notplaced,0
261,8.7,2.0,1,0,66,4.8,Yes,No,70,59,73.0,notplaced,0
262,6.6,0.0,1,2,72,4.2,No,Yes,86,88,87.0,placed,1
263,8.1,0.0,2,3,78,4.1,Yes,Yes,81,78,47.0,placed,1
264,6.5,1.0,3,0,80,3.7,No,No,59,66,93.0,notplaced,0
265,7.4,1.0,1,0,88,4.5,No,Yes,76,71,68.0,placed,1
266,8.2,2.0,3,2,80,4.8,Yes,Yes,79,84,45.0,placed,1
267,6.8,2.0,2,2,80,4.6,No,Yes,61,69,80.0,notplaced,0
268,8.0,1.0,2,1,76,4.5,No,Yes,68,75,84.0,notplaced,0
269,8.5,1.0,3,0,82,4.4,Yes,Yes,68,88,61.0,placed,1
270,6.6,1.0,2,1,65,4.1,No,No,56,58,67.0,notplaced,0
271,8.4,1.0,2,0,79,3.8,No,Yes,60,64,63.0,notplaced,0
272,7.8,1.0,1,1,79,3.7,No,Yes,56,59,95.0,notplaced,0
273,7.7,1.0,2,0,81,3.8,Yes,Yes,65,59,77.0,notplaced,0
274,6.8,1.0,1,0,73,3.7,No,Yes,55,65,54.0,notplaced,0
275,7.3,1.0,2,1,71,4.7,No,No,59,57,88.0,notplaced,0
276,6.5,2.0,2,2,79,4.5,Yes,Yes,83,87,87.0,placed,1
277,8.3,2.0,1,1,83,4.5,Yes,Yes,82,86,43.0,notplaced,0
278,7.3,1.0,2,1,79,3.8,No,Yes,58,73,42.0,notplaced,0
279,6.8,1.0,2,1,65,3.9,Yes,Yes,71,85,46.0,placed,1
280,8.7,1.0,3,2,90,4.8,Yes,Yes,69,88,43.0,placed,1
281,8.3,2.0,3,1,90,4.8,Yes,No,55,80,52.0,placed,1
282,8.2,1.0,2,1,79,3.8,Yes,Yes,55,70,85.0,notplaced,0
283,8.2,1.0,1,2,86,4.4,No,No,76,82,52.0,notplaced,0
284,8.5,0.0,2,0,81,3.2,No,Yes,55,63,63.0,notplaced,0
285,8.0,0.0,1,1,87,3.8,No,Yes,55,71,88.0,notplaced,0
286,7.9,1.0,1,0,77,4.7,Yes,Yes,64,60,91.0,notplaced,0
287,7.7,1.0,1,2,82,4.4,No,No,55,70,55.0,notplaced,0
288,7.6,0.0,3,3,75,4.3,Yes,Yes,82,87,47.0,placed,1
289,6.7,1.0,3,0,77,4.1,Yes,Yes,69,67,61.0,notplaced,0
290,8.5,0.0,2,2,75,4.5,Yes,No,76,83,43.0,placed,1
291,8.8,1.0,2,2,90,4.8,Yes,No,75,88,58.0,placed,1
292,6.5,2.0,3,1,82,4.6,Yes,No,83,63,81.0,notplaced,0
293,7.5,0.0,1,1,80,4.2,Yes,No,84,64,65.0,notplaced,0
294,7.7,2.0,3,2,78,4.6,Yes,Yes,78,83,91.0,notplaced,0
295,7.7,0.0,1,0,79,4.8,No,Yes,58,71,63.0,notplaced,0
296,8.6,1.0,1,2,84,4.3,Yes,Yes,57,82,56.0,placed,1
297,7.5,0.0,2,0,69,3.6,No,No,61,59,56.0,notplaced,0
298,6.8,1.0,1,0,68,4.3,No,Yes,65,69,55.0,notplaced,0
299,8.1,0.0,3,2,90,4.8,Yes,Yes,69,84,51.0,notplaced,0
300,8.4,2.0,3,3,82,4.5,Yes,No,82,85,59.0,placed,1
301,7.5,1.0,1,0,67,3.4,No,No,65,71,87.0,notplaced,0
302,8.1,1.0,3,0,70,4.8,Yes,No,71,72,93.0,notplaced,0
303,7.4,1.0,1,1,64,4.0,No,No,55,62,86.0,notplaced,0
304,8.4,2.0,3,2,80,4.6,Yes,Yes,72,79,54.0,placed,1
305,8.2,0.0,3,2,90,4.8,Yes,Yes,79,80,59.0,placed,1
306,8.0,1.0,2,1,80,4.3,No,Yes,71,61,86.0,notplaced,0
307,7.9,0.0,3,2,90,4.8,Yes,Yes,68,83,65.0,placed,1
308,6.8,0.0,1,0,77,3.3,No,No,64,69,59.0,notplaced,0
309,8.3,2.0,3,2,82,4.6,Yes,Yes,76,85,86.0,placed,1
310,7.4,1.0,2,1,75,4.3,No,Yes,55,85,86.0,notplaced,0
311,7.6,1.0,1,0,66,4.1,No,Yes,62,73,60.0,notplaced,0
312,8.5,2.0,3,1,90,4.8,Yes,Yes,78,82,63.0,notplaced,0
313,8.2,2.0,3,2,90,4.6,Yes,Yes,77,88,90.0,placed,1
314,8.2,1.0,3,2,90,4.3,No,Yes,77,82,87.0,placed,1
315,6.5,1.0,1,0,79,3.6,No,Yes,55,64,50.0,notplaced,0
316,7.5,1.0,1,2,82,4.5,Yes,Yes,77,84,65.0,placed,1
317,7.5,1.0,2,1,85,4.1,No,Yes,71,84,85.0,notplaced,0
318,6.6,0.0,1,1,67,4.3,No,Yes,56,65,44.0,notplaced,0
319,7.6,1.0,1,1,88,4.5,Yes,Yes,83,86,49.0,placed,1
320,7.5,1.0,1,1,81,4.5,Yes,Yes,64,68,47.0,notplaced,0
321,7.5,0.0,2,1,66,4.5,No,Yes,61,71,85.0,placed,1
322,8.5,2.0,3,1,85,4.3,Yes,Yes,88,80,75.0,placed,1
323,7.9,2.0,1,0,71,4.8,No,Yes,56,66,69.0,notplaced,0
324,8.2,0.0,2,0,85,4.1,Yes,No,57,70,90.0,notplaced,0
325,7.2,1.0,2,0,69,4.0,No,Yes,55,61,80.0,notplaced,0
326,8.6,2.0,3,2,90,4.8,Yes,Yes,75,84,65.0,placed,1
327,6.5,1.0,1,1,78,3.9,No,Yes,67,73,48.0,placed,1
328,8.7,1.0,3,0,86,4.5,Yes,Yes,77,81,76.0,placed,1
329,7.8,1.0,2,0,78,4.8,Yes,Yes,75,65,58.0,placed,1
330,7.7,1.0,1,0,80,4.0,No,Yes,55,66,41.0,notplaced,0
331,6.5,0.0,2,0,80,4.6,Yes,Yes,62,86,66.0,placed,1
332,8.5,1.0,2,1,71,3.8,Yes,Yes,78,69,59.0,notplaced,0
333,7.4,2.0,3,0,86,4.6,Yes,Yes,75,72,89.0,placed,1
334,8.6,1.0,3,2,81,4.8,Yes,Yes,71,82,51.0,placed,1
335,8.0,1.0,2,1,88,3.6,No,Yes,69,69,62.0,notplaced,0
336,7.8,1.0,3,1,89,4.6,Yes,Yes,73,79,72.0,placed,1
337,8.1,1.0,3,2,90,4.7,Yes,No,72,87,64.0,placed,1
338,7.2,1.0,2,0,83,4.5,No,Yes,74,69,58.0,notplaced,0
